,,,,,,,,,,,,,,,,,,,,
Brand Name,Website URL,Category,Category,Total Active Ads,Video Ads Count,Image Ads Count,Image Ad Ratio,Pass 35% Filter,Landing pages,Số lượng ads/prelanding chạy ads,Số lượng page Blog,Traffic,%Meta,AOV,% Prelander,Est Revenue,Ad Efficiency,"Checkout 
champ",Note,
Paleovalley,paleovalley.com,Paleo/Wellness,US,580,430,140,24%,Fail,,,,,,,,,,,,
BPI Sports,bpisports.net,Sports Nutrition,US,3,0,3,100%,Fail,,,,,,,,,,,,
Hims,www.hims.com,MEN's Health,US,"1,000",600,430,43%,Pass,View details,0,0,6800000,16.40%,137,0.00%,3819560,3820,,,
Nature's Sunshine,naturessunshine.com,General Supplements,US,42,20,20,48%,Fail,,,,,,,,,,,,
Hers,hers.com,Women's Wellness,US,"50,000",50000,50000,100%,Pass,,,,"72,000",0,,,,,,,
DrinkLMNT,drinklmnt.com,Electrolytes,US,120,98,14,12%,Fail,,,,,,,,,,,,
Magic Spoon,magicspoon.com,Protein Cereal,US,110,80,25,23%,Fail,,,,,,,,,,,,
Onnit,onnit.com,General Supplements,US,71,42,27,38%,Fail,,,,,,,,,,,,
Vitacost,vitacost.com,General Supplements,US,4,1,3,75%,Fail,,,,,,,,,,,,
Nature's Way,naturesway.com,General Supplements,US,58,17,41,71%,Fail,,,,,,,,,,,,
Puori,puori.com,Sports Nutrition,EU,7,0,6,86%,Fail,,,,,,,,,,,,
Jarrow Formulas,jarrow.com,General Supplements,US,69,10,65,94%,Fail,,,,,,,,,,,,
NATURELO,naturelo.com,General Supplements,US,30,7,20,67%,Fail,,,,,,,,,,,,
Wellgard,wellgard.co.uk,General Supplements,UK,44,8,36,82%,Fail,,,,,,,,,,,,
AS-IT-IS Nutrition,asitis.com,Sports Nutrition,IN,190,130,54,28%,Fail,,,,,,,,,,,,
Dr. Berg,drberg.com,General Supplements,US,35,12,22,63%,Fail,,,,,,,,,,,,
Primal Harvest,primal-harvest.com,General Supplements,US,100,44,60,60%,Fail,,,,,,,,,,,,
Standard Process,standardprocess.com,General Supplements,US,34,21,13,38%,Fail,,,,,,,,,,,,
DoNotAge,donotage.org,Longevity/Supplements,UK,99,39,69,70%,Fail,,,,,,,,,,,,
Country Life Vitamins,countrylifevitamins.com,General Supplements,US,65,33,32,49%,Fail,,,,,,,,,,,,
Dr. Kellyann,drkellyann.com,Wellness/Collagen,US,26,10,15,58%,Fail,,,,,,,,,,,,
Humehealth,humehealth.com,Health & Wellness,,980,590,350,36%,Pass,View details,0,71,4309000,48.61%,148,0.00%,7750038,7908,,,
Bear balance,creatinegummies.com,MEN's Health,US,890,690,190,21%,Fail,,,,,,,,,,,,
TryCreate,trycreate.co,Women's Wellness,US,160,130,23,14%,Fail,,,,,,,,,,,,
Get Quite Lab,getquietlab.com,Women's Wellness,US,250,200,48,19%,Fail,,,,,,,,,,,,
Try Spartan,shop.try-sprtn.com,MEN's Health,US,10,6,4,40%,Fail,,,,,,,,,,,,
Forge men,shop.try-forge.com,MEN's Health,US,310,240,56,18%,Fail,,,,,,,,,,,,
Primal Queen,primalqueen.com,Women's Wellness,US,1600,1300,320,20%,Fail,,,,,,,,,,,,
relatio,getrelatio.me,Personal Care,US,890,800,48,5%,Fail,,,,,,,,,,,,
Warrior babe,warriorbabe.com,Women's Wellness,US,240,180,58,24%,Fail,,,,,,,,,,,,
Nord Pilates,nordpilates.com,Personal Care,US,15,15,0,0%,Fail,,,,,,,,,,,,
Sassy Saint,sassysaints.com,Nail,US,3500,2700,880,25%,Fail,,,,,,,,,,,,
Splendorintl,splendorintl.com,Women's Wellness,US,72,68,0,0%,Fail,,,,,,,,,,,,
Legion Athletics,legionathletics.com,Sports Nutrition,US,860,500,310,36%,Pass,View details,0,0,"582,213",4.62,90,0.00%,6052104,7037,,,FALSE
Wilderglow,wilderglow.com,Women's Wellness,AUD,1,1,0,0%,Fail,,,,,,,,,,,,
trynivora,https://trynivora.com,,,680,30,650,96%,Pass,,,,"61,814",28.30%,,,,,,,
Chief Nutrition,wearechief.com,Personal Care,US,340,66,270,79%,Pass,,,,,,,,,,,,
Sculptique,trysculptique.com,Personal Care,US,1300,840,240,18%,Fail,,,,,,,,,,,,
TryBello,trybello.com,Women's Wellness,US,47,41,6,13%,Fail,,,,,,,,,,,,
Try-glamory,tryglamory.com,Women's Wellness,US,22,22,0,0%,Fail,,,,,,,,,,,,
Quite Lab,quietlab.com,Personal Care,US,290,,,0%,Fail,,,,,,,,,,,,
Nuubu,nuubu.com,Personal Care,US,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,
Mozz Guard,ozzihome.co,Device,US,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,
Nail Fungus,thenordicstandards.com,Women's Wellness,US,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,
Medilisk,medilisk.com,Personal Care,US,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,
Koprez Foot Sleeve,koprez.com,Device,US,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,
Ecoden,ecoden.com,Device,US,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,
Cupid Fragrance,cupids.com,MEN's Health,US,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,
Ancient Remedies,ancientremedies.com,Personal Care,US,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,
Prose,prose.com,Women's Wellness,US,,,,,,,,,,,,,,,,,
